title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
2bdrm Apartment in Lekki Phase 1 for sale,1000.0,Apartment,2.0,2.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 280,000,000"
2bdrm Maisonette in Ologolo for sale,500.0,Maisonette,2.0,2.0,unfurnished,"Lekki, Ologolo",Ologolo,Lekki,enterprise,"₦ 75,000,000"
5bdrm Duplex in Chevron for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 400,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 160,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,600.0,Duplex,4.0,4.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 260,000,000"
5bdrm Duplex in Chevron for sale,300.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 460,000,000"
5bdrm Duplex in Lekki for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 310,000,000"
3bdrm Duplex in Lekki Phase 1 for sale,500.0,Duplex,3.0,3.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 600,000,000"
3bdrm Duplex in Lugbe District for sale,600.0,Duplex,3.0,4.0,unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),diamond,"₦ 100,000,000"
3bdrm Bungalow in Gwarinpa for sale,500.0,Bungalow,3.0,4.0,unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),diamond,"₦ 210,000,000"
Furnished 5bdrm Duplex in Ikota for sale,550.0,Duplex,5.0,5.0,furnished,"Lekki, Ikota",Ikota,Lekki,diamond,"₦ 650,000,000"
"4bdrm Duplex in Apex Gardens Estate, Kaura for sale",300.0,Duplex,4.0,4.0,unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),diamond,"₦ 300,000,000"
3bdrm Duplex in Jabi for sale,180.0,Duplex,3.0,3.0,semi-furnished,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),diamond,"₦ 275,000,000"
4bdrm Duplex in Ajah for sale,500.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 160,000,000"
4bdrm Duplex in Lekki Phase 2 for sale,500.0,Duplex,4.0,5.0,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 180,000,000"
4bdrm Duplex in Omole Phase 1 for sale,500.0,Duplex,4.0,4.0,unfurnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,enterprise,"₦ 550,000,000"
5bdrm Duplex in Lekki Phase 2 for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 300,000,000"
5bdrm Duplex in Omole Phase 2 for sale,500.0,Duplex,5.0,5.0,unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Ikeja,enterprise,"₦ 650,000,000"
5bdrm Duplex in Ologolo for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ologolo",Ologolo,Lekki,enterprise,"₦ 400,000,000"
"5bdrm Duplex in Price $2M, Ikoyi for sale",500.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,enterprise,"₦ 2,000,000,000"
5bdrm Duplex in Ajah for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 185,000,000"
5bdrm Duplex in Ikota for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 500,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,1000.0,Apartment,2.0,2.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 160,000,000"
2bdrm Apartment in Ologolo for sale,500.0,Apartment,2.0,2.0,unfurnished,"Lekki, Ologolo",Ologolo,Lekki,enterprise,"₦ 120,000,000"
5bdrm Duplex in Katampe Extension for sale,700.0,Duplex,5.0,6.0,unfurnished,"Katampe, Katampe Extension",Katampe Extension,Katampe,diamond,"₦ 1,200,000,000"
"2bdrm Block of Flats in Army Estate, Kubwa for sale",500.0,Block of Flats,2.0,3.0,unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),diamond,"₦ 60,000,000"
4bdrm Duplex in Jabi for sale,150.0,Duplex,4.0,4.0,unfurnished,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),enterprise,"₦ 155,000,000"
5bdrm Duplex in Ikeja GRA for sale,250.0,Duplex,5.0,5.0,unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 1,100,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 280,000,000"
5bdrm Duplex in Lekki for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 460,000,000"
3bdrm Apartment in Lekki Phase 1 for sale,500.0,Apartment,3.0,3.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 350,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 1,200,000,000"
4bdrm Duplex in GRA Phase 1 for sale,350.0,Duplex,4.0,4.0,unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,enterprise,"₦ 450,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 280,000,000"
4bdrm Duplex in Lekki for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 270,000,000"
2bdrm Block of Flats in Victoria Island for sale,600.0,Block of Flats,2.0,2.0,unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,enterprise,"₦ 290,000,000"
5bdrm Duplex in Osapa london for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Osapa london",Osapa london,Lekki,enterprise,"₦ 600,000,000"
5bdrm Duplex in Ikate for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikate",Ikate,Lekki,enterprise,"₦ 450,000,000"
3bdrm Apartment in Anthony Village for sale,500.0,Apartment,3.0,3.0,unfurnished,"Maryland, Anthony Village",Anthony Village,Maryland,enterprise,"₦ 180,000,000"
4bdrm Duplex in Ikota for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 130,000,000"
Furnished 2bdrm Apartment in Lekki Phase 1 for sale,350.0,Apartment,2.0,2.0,furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 500,000,000"
4bdrm Bungalow in Lugbe District for sale,600.0,Bungalow,4.0,5.0,unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),diamond,"₦ 45,000,000"
4bdrm Duplex in Dantata Estate Fo1 for sale,500.0,Duplex,4.0,5.0,unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),diamond,"₦ 210,000,000"
5bdrm Duplex in Wuse 2 for sale,1000.0,Duplex,5.0,6.0,unfurnished,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),diamond,"₦ 850,000,000"
"4bdrm Bungalow in Daylight Property, Benin City for sale",456.0,Bungalow,4.0,4.0,unfurnished,"Edo State, Benin City",Benin City,Edo State,diamond,"₦ 22,000,000"
4bdrm Duplex in Galadimawa for sale,300.0,Duplex,4.0,4.0,unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),diamond,"₦ 200,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 900,000,000"
4bdrm Duplex in Anthony Village for sale,350.0,Duplex,4.0,4.0,unfurnished,"Maryland, Anthony Village",Anthony Village,Maryland,enterprise,"₦ 300,000,000"
5bdrm Duplex in Ikota for sale,35.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 350,000,000"
4bdrm Duplex in Off Lekki-Epe Expressway for sale,500.0,Duplex,4.0,4.0,unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,enterprise,"₦ 150,000,000"
5bdrm Duplex in Chevron for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 720,000,000"
3bdrm Bungalow in Epe for sale,350.0,Bungalow,3.0,3.0,unfurnished,"Lagos State, Epe",Epe,Lagos State,enterprise,"₦ 50,000,000"
4bdrm Duplex in Ikoyi for sale,500.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,enterprise,"₦ 650,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 290,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,500.0,Apartment,2.0,2.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 220,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 250,000,000"
3bdrm Duplex in VGC / Ajah for sale,1250.0,Duplex,3.0,3.0,unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Ajah,diamond,"₦ 135,000,000"
Furnished 16bdrm House in Garki Area 2 for sale,800.0,House,16.0,18.0,furnished,"Garki 1, Area 2",Area 2,Garki 1,diamond,"₦ 900,000,000"
Furnished 3bdrm Block of Flats in Katampe Main By for sale,1000.0,Block of Flats,3.0,4.0,furnished,"Abuja (FCT), Katampe",Katampe,Abuja (FCT),diamond,"₦ 130,000,000"
5bdrm Duplex in Ikoyi S.W for sale,123.0,Duplex,5.0,5.0,unfurnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,diamond,"₦ 1,500,000,000"
"3bdrm Duplex in Bridge Peridot, for sale",250.0,Duplex,3.0,3.0,unfurnished,"Abuja (FCT), Mbora",Mbora,Abuja (FCT),diamond,"₦ 180,000,000"
4bdrm Duplex in Jahi for sale,200.0,Duplex,4.0,4.0,semi-furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),diamond,"₦ 250,000,000"
"1bdrm Apartment in Nobblesville Estate, Ibadan Polytechnic/University",250.0,Apartment,1.0,1.0,unfurnished,"Ibadan, Ibadan Polytechnic/University",Ibadan Polytechnic/University,Ibadan,enterprise,"₦ 26,400,000"
5bdrm Duplex in Chevron for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 380,000,000"
4bdrm Duplex in Osapa london for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lekki, Osapa london",Osapa london,Lekki,enterprise,"₦ 350,000,000"
"5bdrm Duplex in Payment Plan, Ajah for sale",500.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 162,000,000"
4bdrm Duplex in Idado for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lekki, Idado",Idado,Lekki,enterprise,"₦ 230,000,000"
5bdrm Duplex in Chevron for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 400,000,000"
3bdrm Apartment in Lekki Phase 1 for sale,500.0,Apartment,3.0,3.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 450,000,000"
5bdrm Duplex in Chevron for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 650,000,000"
2bdrm Apartment in Victoria Island for sale,1000.0,Apartment,2.0,2.0,unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,enterprise,"₦ 350,000,000"
3bdrm Block of Flats in Aguda / Surulere for sale,1000.0,Block of Flats,3.0,3.0,unfurnished,"Surulere, Aguda / Surulere",Aguda / Surulere,Surulere,enterprise,"₦ 100,000,000"
4bdrm Duplex in Off Lekki-Epe Expressway for sale,500.0,Duplex,4.0,4.0,unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,enterprise,"₦ 200,000,000"
5bdrm Duplex in Ikota for sale,123.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,diamond,"₦ 720,000,000"
4bdrm Duplex in Life Camp for sale,500.0,Duplex,4.0,5.0,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,diamond,"₦ 120,000,000"
2bdrm Duplex in Kubwa for sale,500.0,Duplex,2.0,3.0,unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),diamond,"₦ 65,000,000"
Furnished 6bdrm Duplex in Zone 1 / Wuse for sale,800.0,Duplex,6.0,6.0,furnished,"Wuse, Zone 1 / Wuse",Zone 1 / Wuse,Wuse,diamond,"₦ 2,500,000,000"
5bdrm Duplex in New Oko Oba for sale,350.0,Duplex,5.0,5.0,unfurnished,"Agege, New Oko Oba",New Oko Oba,Agege,enterprise,"₦ 330,000,000"
3bdrm Maisonette in Lekki Phase 1 for sale,1000.0,Maisonette,3.0,3.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 400,000,000"
5bdrm Duplex in Lekki Phase 2 for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 430,000,000"
5bdrm Duplex in Ajah for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 260,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 290,000,000"
"5bdrm Duplex in ($5,000,000), Ikoyi S.W for sale",700.0,Duplex,5.0,5.0,unfurnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,enterprise,"₦ 7,500,000,000"
5bdrm Duplex in Lekki Phase 2 for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 395,000,000"
5bdrm Duplex in Chevron for sale,420.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 849,000,000"
4bdrm Duplex in Ajah for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 220,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 260,000,000"
3bdrm Bungalow in Aguda / Surulere for sale,250.0,Bungalow,3.0,3.0,unfurnished,"Surulere, Aguda / Surulere",Aguda / Surulere,Surulere,enterprise,"₦ 180,000,000"
3bdrm Apartment in Katampe Extension for sale,500.0,Apartment,3.0,3.0,unfurnished,"Katampe, Katampe Extension",Katampe Extension,Katampe,enterprise,"₦ 300,000,000"
5bdrm Duplex in Osapa london for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Osapa london",Osapa london,Lekki,enterprise,"₦ 390,000,000"
5bdrm Duplex in Ikota for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 420,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 270,000,000"
3bdrm Block of Flats in Katampe (Main) for sale,500.0,Block of Flats,3.0,4.0,unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Katampe,diamond,"₦ 100,000,000"
4bdrm Duplex in Ado / Ajah for sale,123.0,Duplex,4.0,4.0,unfurnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,diamond,"₦ 160,000,000"
5bdrm Duplex in Guzape District for sale,500.0,Duplex,5.0,6.0,unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),diamond,"₦ 500,000,000"
"2bdrm Bungalow in Ire Estate, Igbogbo for sale",600.0,Bungalow,2.0,4.0,unfurnished,"Ikorodu, Igbogbo",Igbogbo,Ikorodu,diamond,"₦ 16,000,000"
"4bdrm Block of Flats in Daylight Property, Benin City for sale",546.0,Block of Flats,4.0,5.0,semi-furnished,"Edo State, Benin City",Benin City,Edo State,diamond,"₦ 75,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 260,000,000"
3bdrm Duplex in Life Camp for sale,500.0,Duplex,3.0,3.0,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,enterprise,"₦ 130,000,000"
3bdrm Duplex in Ojodu for sale,350.0,Duplex,3.0,3.0,unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,enterprise,"₦ 105,000,000"
5bdrm Duplex in Off Lekki-Epe Expressway for sale,350.0,Duplex,5.0,5.0,unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,enterprise,"₦ 260,000,000"
5bdrm Duplex in Lekki for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 185,000,000"
5bdrm Duplex in Ajah for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 180,000,000"
5bdrm Duplex in Off Lekki-Epe Expressway for sale,500.0,Duplex,5.0,5.0,unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,enterprise,"₦ 250,000,000"
4bdrm Duplex in Ajah for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 170,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,500.0,Duplex,4.0,4.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 470,000,000"
4bdrm Duplex in Lekki Phase 2 for sale,500.0,Duplex,4.0,4.0,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 260,000,000"
5bdrm Duplex in Chevron for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 400,000,000"
4bdrm Duplex in Off Lekki-Epe Expressway for sale,350.0,Duplex,4.0,4.0,unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,enterprise,"₦ 230,000,000"
4bdrm Duplex in Ikeja for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,enterprise,"₦ 410,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,1050.0,Duplex,5.0,5.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 1,000,000,000"
"2bdrm Block of Flats in Dantata Estate, Gwarinpa for sale",500.0,Block of Flats,2.0,3.0,unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),diamond,"₦ 80,000,000"
2bdrm Apartment in Ikate for sale,1000.0,Apartment,2.0,2.0,unfurnished,"Lekki, Ikate",Ikate,Lekki,enterprise,"₦ 160,000,000"
4bdrm Duplex in Ologolo for sale,500.0,Duplex,4.0,4.0,unfurnished,"Lekki, Ologolo",Ologolo,Lekki,enterprise,"₦ 160,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,1000.0,Apartment,2.0,2.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 340,000,000"
4bdrm Duplex in Mende for sale,500.0,Duplex,4.0,4.0,unfurnished,"Maryland, Mende",Mende,Maryland,enterprise,"₦ 350,000,000"
4bdrm Duplex in Lekki for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 240,000,000"
2bdrm Apartment in Ikate for sale,500.0,Apartment,2.0,2.0,unfurnished,"Lekki, Ikate",Ikate,Lekki,enterprise,"₦ 135,000,000"
3bdrm Apartment in Ikeja GRA for sale,500.0,Apartment,3.0,3.0,unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 300,000,000"
4bdrm Duplex in Lekki Phase 2 for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 110,000,000"
5bdrm Duplex in VGC / Ajah for sale,500.0,Duplex,5.0,5.0,unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Ajah,enterprise,"₦ 450,000,000"
5bdrm Duplex in Lekki for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 490,000,000"
5bdrm Duplex in Ajah for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 225,000,000"
4bdrm Duplex in Sangotedo for sale,500.0,Duplex,4.0,4.0,unfurnished,"Ajah, Sangotedo",Sangotedo,Ajah,enterprise,"₦ 170,000,000"
5bdrm Duplex in Osapa london for sale,500.0,Duplex,5.0,5.0,unfurnished,"Lekki, Osapa london",Osapa london,Lekki,enterprise,"₦ 830,000,000"
4bdrm Duplex in Ikoyi for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,enterprise,"₦ 1,200,000,000"
3bdrm Apartment in Victoria Island for sale,1000.0,Apartment,3.0,3.0,unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,enterprise,"₦ 450,000,000"
5bdrm Duplex in Ikota for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 350,000,000"
4bdrm Duplex in Ajah for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 210,000,000"
2bdrm Block of Flats in Ikorodu for sale,330.0,Block of Flats,2.0,2.0,unfurnished,"Lagos State, Ikorodu",Ikorodu,Lagos State,enterprise,"₦ 25,000,000"
2bdrm Block of Flats in Jahi Abuja for sale,500.0,Block of Flats,2.0,3.0,unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),diamond,"₦ 130,000,000"
4bdrm Duplex in Abraham Adesanya Estate for sale,150.0,Duplex,4.0,4.0,unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,diamond,"₦ 138,000,000"
2bdrm Block of Flats in Kubwa for sale,443.0,Block of Flats,2.0,3.0,unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),diamond,"₦ 300,000,000"
6bdrm Duplex in Lekki Phase 1 for sale,1250.0,Duplex,6.0,6.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 1,300,000,000"
1bdrm Block of Flats in Kubwa for sale,300.0,Block of Flats,1.0,2.0,unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),diamond,"₦ 40,000,000"
2bdrm Bungalow in Kubwa District for sale,500.0,Bungalow,2.0,3.0,unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),diamond,"₦ 35,000,000"
"2bdrm Apartment in Ofin Estate, Igbogbo for sale",300.0,Apartment,2.0,2.0,unfurnished,"Ikorodu, Igbogbo",Igbogbo,Ikorodu,diamond,"₦ 11,000,000"
Furnished 5bdrm Duplex in Lekki Phase 2 for sale,500.0,Duplex,5.0,5.0,furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,diamond,"₦ 350,000,000"
4bdrm Duplex in Jahi for sale,300.0,Duplex,4.0,4.0,unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),diamond,"₦ 280,000,000"
3bdrm Block of Flats in Ikeja GRA for sale,500.0,Block of Flats,3.0,3.0,unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 270,000,000"
3bdrm Apartment in Ikate for sale,350.0,Apartment,3.0,3.0,unfurnished,"Lekki, Ikate",Ikate,Lekki,enterprise,"₦ 180,000,000"
4bdrm Duplex in Ikota for sale,500.0,Duplex,4.0,4.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 250,000,000"
4bdrm Duplex in Ajah for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 155,000,000"
4bdrm Duplex in Chevron for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 380,000,000"
4bdrm Duplex in Ajah for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 260,000,000"
4bdrm Duplex in Maryland for sale,350.0,Duplex,4.0,4.0,unfurnished,"Lagos State, Maryland",Maryland,Lagos State,enterprise,"₦ 270,000,000"
2bdrm Apartment in Sangotedo for sale,1000.0,Apartment,2.0,2.0,unfurnished,"Ajah, Sangotedo",Sangotedo,Ajah,enterprise,"₦ 75,000,000"
5bdrm Duplex in Ikate for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikate",Ikate,Lekki,enterprise,"₦ 450,000,000"
5bdrm Duplex in Ikota for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 350,000,000"
4bdrm Duplex in Thomas Estate for sale,600.0,Duplex,4.0,4.0,unfurnished,"Ajah, Thomas Estate",Thomas Estate,Ajah,enterprise,"₦ 165,000,000"
4bdrm Duplex in Mende for sale,500.0,Duplex,4.0,4.0,unfurnished,"Maryland, Mende",Mende,Maryland,enterprise,"₦ 360,000,000"
5bdrm Duplex in Osapa london for sale,1000.0,Duplex,5.0,5.0,unfurnished,"Lekki, Osapa london",Osapa london,Lekki,enterprise,"₦ 1,800,000,000"
4bdrm Duplex in Ikota for sale,500.0,Duplex,4.0,4.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 170,000,000"
4bdrm Duplex in Abraham Adesanya Estate for sale,500.0,Duplex,4.0,4.0,unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,enterprise,"₦ 150,000,000"
3bdrm Apartment in Ikeja GRA for sale,500.0,Apartment,3.0,3.0,unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 450,000,000"
5bdrm Duplex in Chevron for sale,350.0,Duplex,5.0,5.0,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 500,000,000"
"4bdrm Duplex in Karasana, Gwarinpa for sale",500.0,Duplex,4.0,5.0,unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),diamond,"₦ 130,000,000"
