title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
3bdrm Bungalow in Wumba for sale,,Bungalow,3.0,4.0,semi-furnished,"Abuja (FCT), Wumba",Wumba,Abuja (FCT),enterprise,"₦ 75,000,000"
"Functional 5bedrm Duplex,Secured Estate in Guzape for Sale",,,5.0,5.0,semi-furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),enterprise,"₦ 350,000,000"
2bdrm Apartment in GRA Phase 1 / Port-Harcourt for sale,500.0,Apartment,2.0,2.0,unfurnished,"Port-Harcourt, GRA Phase 1 / Port-Harcourt",GRA Phase 1 / Port-Harcourt,Port-Harcourt,enterprise,"₦ 140,000,000"
4bdrm Duplex in Dape for sale,920.0,Duplex,4.0,5.0,unfurnished,"Gwarinpa, Dape",Dape,Gwarinpa,enterprise,"₦ 460,000,000"
5bdrm Duplex in Jahi for sale,1000.0,Duplex,5.0,5.0,unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 200,000,000"
5bdrm Duplex in Dawaki News for sale,500.0,Duplex,5.0,5.0,unfurnished,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,enterprise,"₦ 80,000,000"
5bdrm Duplex in Ikota for sale,460.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,diamond,"₦ 550,000,000"
6bdrm Maisonette in Navy Estate Karshi for Sale,1400.0,Maisonette,6.0,5.0,semi-furnished,"Abuja (FCT), Karshi",Karshi,Abuja (FCT),enterprise,"₦ 150,000,000"
3bdrm Apartment in Ifako for sale,650.0,Apartment,3.0,3.0,semi-furnished,"Gbagada, Ifako-Gbagada",Ifako-Gbagada,Gbagada,enterprise,"₦ 160,000,000"
5bdrm Duplex in Banana Island for sale,250.0,Duplex,5.0,5.0,semi-furnished,"Ikoyi, Banana Island",Banana Island,Ikoyi,enterprise,"₦ 4,800,000,000"
3bdrm Apartment in Maryland Estate for sale,600.0,Apartment,3.0,3.0,semi-furnished,"Maryland, LSDPC Maryland Estate",LSDPC Maryland Estate,Maryland,enterprise,"₦ 250,000,000"
"4bdrm Duplex in Millennium Estate, Millenuim/UPS for sale",230.0,Duplex,4.0,4.0,semi-furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Gbagada,enterprise,"₦ 400,000,000"
6bdrm Duplex in Lekki Phase1 for sale,300.0,Duplex,6.0,6.0,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 1,300,000,000"
2bdrm Duplex in Ilupeju Industrial Estate for sale,825.0,Duplex,2.0,4.0,semi-furnished,"Ilupeju, Ilupeju Industrial Estate",Ilupeju Industrial Estate,Ilupeju,enterprise,"₦ 830,000,000"
4bdrm Duplex in Ikota for sale,450.0,Duplex,4.0,4.0,semi-furnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 180,000,000"
Furnished 4bdrm Duplex in Chevron for sale,500.0,Duplex,4.0,4.0,furnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 365,000,000"
4bdrm Duplex in Kado for sale,1900.0,Duplex,4.0,4.0,semi-furnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),enterprise,"₦ 230,000,000"
"5bdrm Duplex in Mini Estate, Katampe Extension for sale",1000.0,Duplex,5.0,5.0,semi-furnished,"Katampe, Katampe Extension",Katampe Extension,Katampe,enterprise,"₦ 250,000,000"
"4bdrm Duplex in Gbagada, Millenuim/UPS for sale",220.0,Duplex,4.0,4.0,semi-furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Gbagada,enterprise,"₦ 280,000,000"
"5bdrm Duplex in Secured Estate Oniru, Victoria Island Extension",500.0,Duplex,5.0,5.0,semi-furnished,"Victoria Island, Victoria Island Extension",Victoria Island Extension,Victoria Island,enterprise,"₦ 1,600,000,000"
3bdrm Apartment in Magodo Gra Phase 2 for sale,650.0,Apartment,3.0,3.0,semi-furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,enterprise,"₦ 280,000,000"
