title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,650000000.0
2bdrm Apartment in Victoria Island for sale,1000,Apartment,2,2,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos Island,Enterprise,350000000.0
3bdrm Block of Flats in Aguda / Surulere for sale,1000,Block of Flats,3,3,Unfurnished,"Surulere, Aguda / Surulere",Aguda / Surulere,Lagos Mainland,Enterprise,100000000.0
4bdrm Duplex in Off Lekki-Epe Expressway for sale,500,Duplex,4,4,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,200000000.0
5bdrm Duplex in Ikota for sale,123,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Diamond,720000000.0
4bdrm Duplex in Life Camp for sale,500,Duplex,4,5,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,120000000.0
2bdrm Duplex in Kubwa for sale,500,Duplex,2,3,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,65000000.0
5bdrm Duplex in New Oko Oba for sale,350,Duplex,5,5,Unfurnished,"Agege, New Oko Oba",New Oko Oba,Lagos Mainland,Enterprise,330000000.0
3bdrm Maisonette in Lekki Phase 1 for sale,1000,Maisonette,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,400000000.0
5bdrm Duplex in Lekki Phase 2 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,430000000.0
5bdrm Duplex in Ajah for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,260000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,290000000.0
5bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,395000000.0
5bdrm Duplex in Chevron for sale,420,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,849000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,220000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,260000000.0
3bdrm Bungalow in Aguda / Surulere for sale,250,Bungalow,3,3,Unfurnished,"Surulere, Aguda / Surulere",Aguda / Surulere,Lagos Mainland,Enterprise,180000000.0
3bdrm Apartment in Katampe Extension for sale,500,Apartment,3,3,Unfurnished,"Katampe, Katampe Extension",Katampe Extension,Abuja (FCT),Enterprise,300000000.0
5bdrm Duplex in Osapa london for sale,350,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,390000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,420000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,270000000.0
3bdrm Block of Flats in Katampe (Main) for sale,500,Block of Flats,3,4,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Diamond,100000000.0
4bdrm Duplex in Ado / Ajah for sale,123,Duplex,4,4,Unfurnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos Island,Diamond,160000000.0
5bdrm Duplex in Guzape District for sale,500,Duplex,5,6,Unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Diamond,500000000.0
"2bdrm Bungalow in Ire Estate, Igbogbo for sale",600,Bungalow,2,4,Unfurnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,16000000.0
"4bdrm Block of Flats in Daylight Property, Benin City for sale",546,Block of Flats,4,5,Semi-Furnished,"Edo State, Benin City",Benin City,Edo State,Diamond,75000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,260000000.0
3bdrm Duplex in Life Camp for sale,500,Duplex,3,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,130000000.0
3bdrm Duplex in Ojodu for sale,350,Duplex,3,3,Unfurnished,"Lagos State, Ojodu",Ojodu,Lagos Mainland,Enterprise,105000000.0
5bdrm Duplex in Off Lekki-Epe Expressway for sale,350,Duplex,5,5,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,260000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,185000000.0
5bdrm Duplex in Ajah for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,180000000.0
5bdrm Duplex in Off Lekki-Epe Expressway for sale,500,Duplex,5,5,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,250000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,170000000.0
4bdrm Duplex in Lekki Phase 1 for sale,500,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,470000000.0
4bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,260000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,400000000.0
4bdrm Duplex in Off Lekki-Epe Expressway for sale,350,Duplex,4,4,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,230000000.0
4bdrm Duplex in Ikeja for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos Mainland,Enterprise,410000000.0
"2bdrm Block of Flats in Dantata Estate, Gwarinpa for sale",500,Block of Flats,2,3,Unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),Diamond,80000000.0
2bdrm Apartment in Ikate for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,160000000.0
4bdrm Duplex in Ologolo for sale,500,Duplex,4,4,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos Island,Enterprise,160000000.0
2bdrm Apartment in Lekki Phase 1 for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,340000000.0
4bdrm Duplex in Mende for sale,500,Duplex,4,4,Unfurnished,"Maryland, Mende",Mende,Lagos Mainland,Enterprise,350000000.0
4bdrm Duplex in Lekki for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,240000000.0
2bdrm Apartment in Ikate for sale,500,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,135000000.0
3bdrm Apartment in Ikeja GRA for sale,500,Apartment,3,3,Unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos Mainland,Enterprise,300000000.0
4bdrm Duplex in Lekki Phase 2 for sale,350,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,110000000.0
5bdrm Duplex in VGC / Ajah for sale,500,Duplex,5,5,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,490000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,225000000.0
4bdrm Duplex in Sangotedo for sale,500,Duplex,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,170000000.0
5bdrm Duplex in Osapa london for sale,500,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,830000000.0
3bdrm Apartment in Victoria Island for sale,1000,Apartment,3,3,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,350000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,210000000.0
2bdrm Block of Flats in Ikorodu for sale,330,Block of Flats,2,2,Unfurnished,"Lagos State, Ikorodu",Ikorodu,Lagos Mainland,Enterprise,25000000.0
2bdrm Block of Flats in Jahi Abuja for sale,500,Block of Flats,2,3,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Diamond,130000000.0
4bdrm Duplex in Abraham Adesanya Estate for sale,150,Duplex,4,4,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos Island,Diamond,138000000.0
2bdrm Block of Flats in Kubwa for sale,443,Block of Flats,2,3,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,300000000.0
1bdrm Block of Flats in Kubwa for sale,300,Block of Flats,1,2,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,40000000.0
2bdrm Bungalow in Kubwa District for sale,500,Bungalow,2,3,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,35000000.0
"2bdrm Apartment in Ofin Estate, Igbogbo for sale",300,Apartment,2,2,Unfurnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,11000000.0
Furnished 5bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,5,5,Furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Diamond,350000000.0
4bdrm Duplex in Jahi for sale,300,Duplex,4,4,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Diamond,280000000.0
3bdrm Block of Flats in Ikeja GRA for sale,500,Block of Flats,3,3,Unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos Mainland,Enterprise,270000000.0
3bdrm Apartment in Ikate for sale,350,Apartment,3,3,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,180000000.0
4bdrm Duplex in Ikota for sale,500,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,250000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,155000000.0
4bdrm Duplex in Chevron for sale,350,Duplex,4,4,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,380000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,260000000.0
4bdrm Duplex in Maryland for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Maryland",Maryland,Lagos Mainland,Enterprise,270000000.0
2bdrm Apartment in Sangotedo for sale,1000,Apartment,2,2,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,75000000.0
5bdrm Duplex in Ikate for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,350000000.0
4bdrm Duplex in Thomas Estate for sale,600,Duplex,4,4,Unfurnished,"Ajah, Thomas Estate",Thomas Estate,Lagos Island,Enterprise,165000000.0
4bdrm Duplex in Mende for sale,500,Duplex,4,4,Unfurnished,"Maryland, Mende",Mende,Lagos Mainland,Enterprise,360000000.0
4bdrm Duplex in Ikota for sale,500,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,170000000.0
4bdrm Duplex in Abraham Adesanya Estate for sale,500,Duplex,4,4,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos Island,Enterprise,150000000.0
3bdrm Apartment in Ikeja GRA for sale,500,Apartment,3,3,Unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos Mainland,Enterprise,450000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,500000000.0
"4bdrm Duplex in Karasana, Gwarinpa for sale",500,Duplex,4,5,Unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),Diamond,130000000.0
"2bdrm Bungalow in Bricks City, Kubwa for sale",500,Bungalow,2,3,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,50000000.0
"4bdrm Duplex in Dantata Estate Fo1, for sale",400,Duplex,4,5,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,120000000.0
3bdrm Block of Flats in Mabushi for sale,300,Block of Flats,3,4,Unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),Diamond,150000000.0
3bdrm Duplex in Idu Industrial for sale,200,Duplex,3,3,Unfurnished,"Abuja (FCT), Idu Industrial",Idu Industrial,Abuja (FCT),Diamond,60000000.0
5bdrm Duplex in Osapa london for sale,350,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,440000000.0
5bdrm Duplex in Ikeja GRA for sale,350,Duplex,5,5,Unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos Mainland,Enterprise,850000000.0
"3bdrm Bungalow in Mowe -Ofada, Abeokuta South for sale",300,Bungalow,3,4,Unfurnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,Enterprise,40000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,250000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,300000000.0
5bdrm Duplex in Lekki for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,630000000.0
3bdrm Bungalow in Igbogbo for sale,300,Bungalow,3,3,Unfurnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Enterprise,25000000.0
5bdrm Duplex in Off Lekki-Epe Expressway for sale,500,Duplex,5,5,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,400000000.0
4bdrm Duplex in Off Lekki-Epe Expressway for sale,500,Duplex,4,4,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,140000000.0
5bdrm Duplex in Lekki Phase 1 for sale,500,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,900000000.0
"3bdrm Maisonette in Dora Estate, Lekki Phase 1 for sale",123,Maisonette,3,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Diamond,380000000.0
